Amount,Question,A,B,C,D,Answer
"$100","On which of these would you air laundry?",Clothes dog,Clothes horse,Clothes rabbit,Clothes pig,B
"$200","What name is given to a person who is against increasing the powers of the European Union?",Eurosceptic,Eurostar,Eurotrash,Eurovision,A
"$300","What is butterscotch?",Shortbread,Pavement game,Garden flower,Brittle toffee,D
"$500","Which of these in the nickname for a famous Scottish army regiment?",Black Cat,Black Widow,Black Sea,Black Watch,D
"$1,000","The Normans, who invaded and conquered England in 1066, spoke which language?",German,Norwegian,French,Danish,C
"$2,000","In 'Coronation Street', who is Audrey's daughter?",Janice,Gail,Linda,Sally,B
"$4,000","The River Foyle is found in which part of the United Kingdom?",England,Scotland,Northern Ireland,Wales,C
"$8,000","Who was the second husband of Jacqueline Kennedy?",Adnan Khashoggi, Ronald Reagan,Aristotle Onassis,Rupert Murdoch,C
"$16,000","Emmenthal is a cheese from which country?",France,Italy,Netherlands,Switzerland,D
"$32,000","Who had a hit UK album with 'Born To Do It', released in 2000?",Coldplay,Toploader,A1,Craig David,D
"$64,000","Gentlemen v Players was an annual match between amateurs and professionals of which sport?",Lawn Tennis,Rugby Union,Polo,Cricket,D
"$125,000","'The Ambassadors', in the National Gallery, is a painting by which artist?",Van Eyck,Holbein,Michelangelo,Rembrandt,B
"$250,000","What type of garment is an Anthony Eden?",Overcoat,Hat,Shoe,Tie,B
"$500,000","Baron Haussmann is best known for his planning of which city?",Rome,Paris,Berlin,Athens,B
"$1,000,000","A number one followed by one hundred zeros is known by what name?",Googol,Megatron,Gigabit,Nanomole,A
